n_snps,panel,reductor,classifier,fold,acc,f1,mcc,roc_auc
25,stat,EN,GBM,2,0.8415841584158416,0.8374039904284349,0.7521911544856715,0.9349234668592384
25,stat,EN,RF,3,0.9108910891089109,0.909009763348902,0.8611644539989828,0.9799222632424835
25,stat,EN,XGB,3,0.8910891089108911,0.8895353285064291,0.8303949420757554,0.976619483759531
25,stat,EN,LR,3,0.8910891089108911,0.8912044565801118,0.8304122232069379,0.9748494762951884
25,stat,EN,SVM_RBF,3,0.8811881188118812,0.8808245573639372,0.815007924425509,0.977099238291213
25,stat,EN,SVM_Lin,3,0.8910891089108911,0.8912044565801118,0.8304122232069379,0.9671992816170629
25,stat,EN,GBM,3,0.9306930693069307,0.9300197073044296,0.8927743354746698,0.9729804366016012
25,stat,EN,RF,4,0.84,0.8394913817927516,0.7530103560157266,0.9708079805525277
25,stat,EN,XGB,4,0.85,0.8491064871481028,0.7653317108059645,0.9627827100725695
25,stat,EN,LR,4,0.86,0.860375939849624,0.7815342588087824,0.9659734664369801
25,stat,EN,SVM_RBF,4,0.85,0.8492971679813784,0.7671470354849521,0.9656244677270335
25,stat,EN,SVM_Lin,4,0.84,0.8399789861631968,0.7513230454790744,0.9522188628170345
25,stat,EN,GBM,4,0.8,0.7973059542796384,0.686204231930457,0.937227870296181
30,stat,EN,RF,0,0.8712871287128713,0.8657156678029758,0.8014866822473365,0.9682767417602388
30,stat,EN,XGB,0,0.8712871287128713,0.866499510798098,0.8004376848798174,0.966279635057512
30,stat,EN,LR,0,0.8613861386138614,0.8586974082023587,0.7838439419131497,0.9541945140629352
30,stat,EN,SVM_RBF,0,0.8811881188118812,0.87789766318404,0.8161273560146198,0.9541542179365551
30,stat,EN,SVM_Lin,0,0.8415841584158416,0.8403817679065203,0.7529867420917707,0.9508980785296575
30,stat,EN,GBM,0,0.8217821782178217,0.8132980539433254,0.7212710941207433,0.9393678405052178
30,stat,EN,RF,1,0.8910891089108911,0.8905873392769141,0.8299300135061773,0.9657543694452704
30,stat,EN,XGB,1,0.8613861386138614,0.8601675552170601,0.7835564704825744,0.9587916943960654
30,stat,EN,LR,1,0.8910891089108911,0.8910090263543815,0.8314619117124283,0.9553050469865813
30,stat,EN,SVM_RBF,1,0.8811881188118812,0.8785478547854786,0.8162247893992458,0.9642369813422444
30,stat,EN,SVM_Lin,1,0.8712871287128713,0.8714342246437029,0.7998299768661568,0.9509608531687032
30,stat,EN,GBM,1,0.8613861386138614,0.8601780602463429,0.7832273612059495,0.9467630351773973
30,stat,EN,RF,2,0.8811881188118812,0.8754136216764409,0.8153586644243482,0.9619522558750927
30,stat,EN,XGB,2,0.8712871287128713,0.8667941869262,0.8001787553756462,0.9621191042578197
30,stat,EN,LR,2,0.8712871287128713,0.8684112939123806,0.8017683072642328,0.9652640310758063
30,stat,EN,SVM_RBF,2,0.8613861386138614,0.8577963904374595,0.785089754699958,0.960533159641099
30,stat,EN,SVM_Lin,2,0.8712871287128713,0.8686046304978929,0.8069676037507424,0.9581742727817661
30,stat,EN,GBM,2,0.8613861386138614,0.8564539966948845,0.7834293562139005,0.9544872657160793
30,stat,EN,RF,3,0.8910891089108911,0.8884414284125042,0.8336219547145807,0.9797773474012658
30,stat,EN,XGB,3,0.8811881188118812,0.8791009762997206,0.8157129488202252,0.9720791556550802
30,stat,EN,LR,3,0.900990099009901,0.9010671575718778,0.8462698051701235,0.9769998338054987
30,stat,EN,SVM_RBF,3,0.8910891089108911,0.8907706430482301,0.8312444821069072,0.9785727494814828
30,stat,EN,SVM_Lin,3,0.8415841584158416,0.8429075362752291,0.7567684786964092,0.9726666724306378
30,stat,EN,GBM,3,0.8613861386138614,0.860978665434111,0.7849152702256533,0.9663801132428197
30,stat,EN,RF,4,0.86,0.8608726040453246,0.7877210657222531,0.979234582785747
30,stat,EN,XGB,4,0.85,0.8505195267037372,0.7671470354849521,0.9678185344361458
30,stat,EN,LR,4,0.94,0.9405448210326258,0.9066432188623881,0.9788402745522101
30,stat,EN,SVM_RBF,4,0.9,0.900779384035198,0.8456288372537205,0.979234582785747
30,stat,EN,SVM_Lin,4,0.92,0.9200747003254743,0.8754430427173471,0.977848696389907
30,stat,EN,GBM,4,0.82,0.819342666465954,0.7216704821339693,0.9461981934735885
35,stat,EN,RF,0,0.9108910891089109,0.9067173268752977,0.8638449054075519,0.9763854669630762
35,stat,EN,XGB,0,0.9108910891089109,0.9079984204600113,0.8618553497096394,0.9752884447465178
35,stat,EN,LR,0,0.9108910891089109,0.9097617984610132,0.8611642710402361,0.9724622290188748
35,stat,EN,SVM_RBF,0,0.9108910891089109,0.9067173268752977,0.8638449054075519,0.9723506034389174
35,stat,EN,SVM_Lin,0,0.8910891089108911,0.888791725254682,0.8304642965828187,0.974651494555598
35,stat,EN,GBM,0,0.8910891089108911,0.8861522868511803,0.8340259137665242,0.9645606483251443
35,stat,EN,RF,1,0.9306930693069307,0.9304210694131644,0.8922915352698607,0.9834299142394592
