n_snps,panel,reductor,classifier,acc_mean,acc_std,f1_mean,mcc_mean,roc_auc_mean
65,stat,LR,RF,0.9206138613861388,0.026282643983571736,0.9199269076276725,0.8770073831233717,0.9844534799231843
65,stat,LR,SVM_Lin,0.9086534653465346,0.03631164328011315,0.908132817959531,0.8590153672747025,0.9827947979435226
65,stat,LR,SVM_RBF,0.9364554455445544,0.020812389891193137,0.9359799370363971,0.9012320139750619,0.9872315079393074
65,stat,LR,XGB,0.9146930693069306,0.026709340752680506,0.9144210620835482,0.867795945631775,0.9825795304346869
70,stat,EN,GBM,0.9226138613861385,0.012944498566303229,0.9211210068128948,0.8806990269998879,0.988628793063075
70,stat,EN,LR,0.9444356435643565,0.01134395975829182,0.944063079842761,0.914341765634633,0.9909324698485916
70,stat,EN,RF,0.9385346534653465,0.014539023272755008,0.9370200999109206,0.9056526641076289,0.9910152640218918
70,stat,EN,SVM_Lin,0.9384554455445544,0.022736260799473013,0.9379468306291321,0.9048428785792808,0.9894897257252426
70,stat,EN,SVM_RBF,0.9503564356435643,0.014248415744919652,0.9501996398333301,0.9234497937360201,0.9910298295412818
70,stat,EN,XGB,0.9325940594059405,0.02245652816640415,0.9310821700398376,0.8960791422925197,0.9902742833238829
75,stat,EN,GBM,0.9206930693069306,0.02957977753293869,0.9191300599908914,0.8776739407216368,0.9881059071452596
75,stat,EN,LR,0.9483762376237624,0.01788761219208194,0.9482295874874845,0.920140629284249,0.9924508886262803
75,stat,EN,RF,0.9325544554455444,0.021411609328077934,0.930949129287782,0.8972128971645867,0.9923628492775693
75,stat,EN,SVM_Lin,0.9404356435643564,0.015907289481282078,0.940059139351306,0.9079873530889664,0.9927874153454255
75,stat,EN,SVM_RBF,0.9483564356435643,0.019334278676181385,0.9481729112043439,0.9202585498143767,0.9912308752340497
75,stat,EN,XGB,0.9325544554455444,0.016198697606191945,0.9312890595008717,0.8961160129112038,0.9906823402691588
80,stat,EN,GBM,0.9126732673267327,0.038040938844020315,0.9102134843806751,0.865786762840629,0.9873389471130599
80,stat,EN,LR,0.9444158415841584,0.009128154446956346,0.9439898954630932,0.9140994235402167,0.9933139278875724
80,stat,EN,RF,0.9285544554455445,0.013035058636293168,0.9269492883765693,0.8910384298603187,0.9923915619345512
80,stat,EN,SVM_Lin,0.9364950495049505,0.008976545809449656,0.9359456533517758,0.9019975494558572,0.9928511258801456
80,stat,EN,SVM_RBF,0.9463960396039605,0.015200454541003364,0.9461374234224668,0.9171248100717395,0.9931154280497309
80,stat,EN,XGB,0.9345148514851485,0.02282598058501936,0.9334943513095777,0.8985326189490801,0.9905940818885328
90,fst_stat,EN,GBM,0.9225940594059405,0.011094500103908708,0.9223578499819377,0.8816289937399405,0.9929742874937896
90,fst_stat,EN,LR,0.9582970297029701,0.021589426189771888,0.9582744051143715,0.935821713963352,0.9975838743928784
90,fst_stat,EN,RF,0.9443960396039603,0.01532985359787307,0.9441881928625365,0.9154715342879051,0.9961811688103224
90,fst_stat,EN,SVM_Lin,0.9523564356435644,0.019139205453047974,0.9522194619200853,0.9269984717066635,0.9971575319604984
90,fst_stat,EN,SVM_RBF,0.9602970297029703,0.012228825059547881,0.9601692315146844,0.9384493489952964,0.9954862524407975
90,fst_stat,EN,XGB,0.9305346534653467,0.01726660003920943,0.9301584352047116,0.8929003302469021,0.9910156036234694
100,fst_stat,EN,GBM,0.9127128712871286,0.01458264932739405,0.9118858954970402,0.8663349121329069,0.9925467010619726
100,fst_stat,EN,LR,0.9622970297029703,0.019056049595178558,0.9624086743415884,0.9417982665662488,0.9979894084233715
100,fst_stat,EN,RF,0.9344554455445545,0.024195718644128172,0.9344220013211457,0.9003596656603673,0.9943165097919456
100,fst_stat,EN,SVM_Lin,0.9583366336633663,0.01903546136384344,0.9584623279115251,0.9356486776842978,0.9978047910318558
100,fst_stat,EN,SVM_RBF,0.9602970297029703,0.025292136861888238,0.9603549000658056,0.9383337439723805,0.9958833128624877
100,fst_stat,EN,XGB,0.9225940594059405,0.013118793200061414,0.9222235796542673,0.8807089344703604,0.991339917735141
