n_snps,panel,reductor,classifier,fold,acc,f1,mcc
10,stat,LR,GBM,1,0.5841584158415841,0.5778412308212673,0.3499672708656517
10,stat,LR,RF,2,0.7920792079207921,0.788421872087541,0.6864698436499933
10,stat,LR,XGB,2,0.8118811881188119,0.8099009900990101,0.7095543345543346
10,stat,LR,LR,2,0.7821782178217822,0.7801257225993603,0.6629440380693763
10,stat,LR,SVM_RBF,2,0.8217821782178217,0.8179172134080879,0.7219963321165865
10,stat,LR,SVM_Lin,2,0.7722772277227723,0.769616478195021,0.648582884703572
10,stat,LR,GBM,2,0.801980198019802,0.8000000000000002,0.6941391941391941
10,stat,LR,RF,3,0.7623762376237624,0.7542228745927058,0.6268265354796593
10,stat,LR,XGB,3,0.7920792079207921,0.7880779133369508,0.67488705753177
10,stat,LR,LR,3,0.7623762376237624,0.7261973620042416,0.6379247272140246
10,stat,LR,SVM_RBF,3,0.7425742574257426,0.7038194263764647,0.6006977306896506
10,stat,LR,SVM_Lin,3,0.7722772277227723,0.7319624270119319,0.6531121665254357
10,stat,LR,GBM,3,0.7821782178217822,0.7779131759329779,0.6589985762849329
10,stat,LR,RF,4,0.7,0.6933793535233539,0.5303464108568828
10,stat,LR,XGB,4,0.7,0.7075741807164829,0.5364028622213659
10,stat,LR,LR,4,0.72,0.7214588235294118,0.5627463447258276
10,stat,LR,SVM_RBF,4,0.71,0.7004537534485263,0.5492972359777532
10,stat,LR,SVM_Lin,4,0.73,0.7113721804511277,0.5780367990298758
10,stat,LR,GBM,4,0.72,0.7129302086897024,0.561276925508483
10,stat,EN,RF,0,0.7128712871287128,0.7017944560751782,0.5486673887267236
10,stat,EN,XGB,0,0.6732673267326733,0.6620729923341098,0.4897550585440057
10,stat,EN,LR,0,0.6534653465346535,0.6455615302030667,0.45750567663457686
10,stat,EN,SVM_RBF,0,0.693069306930693,0.6700728896419055,0.5166343264364638
